id_pedido,data,hora,dia_semana,loja,categoria_loja,produto,complexidade_preparo,horario_pico,pedidos_hora_loja,tempo_preparo_min,tempo_entrega_min,distancia_km,quantidade,valor_unitario,valor_total,taxa_entrega,desconto,valor_final,forma_pagamento,status_pedido,regiao_entrega,cliente_gostou
5488,2025-05-21,10:20,Wednesday,Café Aroma,Cafeteria,Cappuccino,Baixa,Não,15,6,37.0,10.11,4,69.05,276.2,4.03,19.82,260.41,Cartão Crédito,Cancelado,Zona Sul,Sim
3965,2025-05-08,17:28,Thursday,Churras Grill,Churrasco,Marmita,Alta,Não,19,53,65.0,1.75,4,68.42,273.68,4.95,22.18,256.45,Vale Refeição,Em Transporte,Zona Leste,Sim
6761,2025-04-27,10:47,Sunday,Doce Sabor,Sobremesas,Brownie,Baixa,Não,18,24,45.0,8.48,2,13.77,27.54,0.5,27.42,0.62,Cartão Crédito,Cancelado,Zona Norte,Sim
7769,2025-05-12,15:15,Monday,Doce Sabor,Sobremesas,Pudim,Baixa,Não,11,21,52.0,7.19,5,71.77,358.85,15.8,19.97,354.68,Dinheiro,Cancelado,Zona Oeste,Sim
4340,2025-05-13,18:47,Tuesday,Churras Grill,Churrasco,Espetinho,Alta,Sim,74,61,115.0,5.26,2,17.71,35.42,17.92,29.58,23.76,Vale Refeição,Em Transporte,Zona Leste,Não
5471,2025-01-31,15:12,Friday,Mercado Fácil,Mercado,Arroz,Média,Não,25,44,82.0,5.55,3,32.93,98.79,7.41,16.88,89.32,Cartão Crédito,Cancelado,Zona Leste,Sim
1198,2025-03-02,19:44,Sunday,Churras Grill,Churrasco,Espetinho,Alta,Sim,65,61,145.0,13.08,5,12.1,60.5,19.52,2.22,77.8,Vale Refeição,Cancelado,Centro,Não
4475,2025-06-07,20:23,Saturday,Burger House,Hamburgueria,Combo Burger,Média,Sim,79,45,69.0,8.06,4,41.31,165.24,15.41,13.96,166.69,Pix,Entregue,Centro,Não
5684,2025-05-11,09:16,Sunday,Churras Grill,Churrasco,Espetinho,Alta,Não,23,54,87.0,6.91,4,56.17,224.68,4.69,7.09,222.28,Pix,Cancelado,Zona Sul,Sim
5465,2025-02-17,19:35,Monday,Mercado Fácil,Mercado,Feijão,Média,Sim,78,38,76.0,3.27,4,76.7,306.8,15.91,29.2,293.51,Pix,Cancelado,Zona Oeste,Sim
6616,2025-06-26,11:23,Thursday,Café Aroma,Cafeteria,Pão Queijo,Baixa,Sim,39,6,16.0,8.15,1,56.25,56.25,11.3,10.39,57.16,Cartão Débito,Cancelado,Zona Oeste,Sim
9747,2025-05-07,23:24,Wednesday,Pastel do Centro,Lanches,Caldo Cana,Baixa,Não,19,18,56.0,5.83,2,60.23,120.46,11.56,0.96,131.06,Vale Refeição,Cancelado,Centro,Sim
9277,2025-04-29,17:40,Tuesday,Café Aroma,Cafeteria,Café Expresso,Baixa,Não,21,15,49.0,10.77,3,83.19,249.57,16.5,26.97,239.1,Pix,Entregue,Centro,Sim
8639,2025-05-26,19:42,Monday,Café Aroma,Cafeteria,Café Expresso,Baixa,Sim,45,21,38.0,14.97,3,27.47,82.41,1.29,5.89,77.81,Pix,Entregue,Zona Oeste,Sim
1289,2025-06-10,13:50,Tuesday,Pastel do Centro,Lanches,Pastel Carne,Baixa,Sim,70,15,36.0,7.51,5,9.47,47.35,17.85,3.43,61.77,Cartão Crédito,Entregue,Centro,Sim
4468,2025-03-18,17:04,Tuesday,Farmácia Vida,Farmácia,Shampoo,Baixa,Não,12,21,60.0,5.92,5,76.78,383.9,12.98,21.56,375.32,Cartão Crédito,Cancelado,Zona Norte,Sim
9938,2025-05-18,21:01,Sunday,Sushi Express,Japonesa,Temaki,Alta,Sim,44,69,105.0,10.26,3,85.31,255.93,14.94,21.52,249.35,Cartão Débito,Em Transporte,Zona Norte,Sim
6348,2025-01-23,09:51,Thursday,Pizza Mania,Pizzaria,Pizza Frango,Alta,Não,24,42,,8.78,4,67.96,271.84,1.46,30.0,243.3,Cartão Crédito,Em Transporte,Zona Norte,Sim
698,2025-06-17,20:08,Tuesday,Pizza Mania,Pizzaria,Pizza Frango,Alta,Sim,77,52,111.0,12.62,1,14.06,14.06,15.25,12.46,16.85,Dinheiro,Entregue,Centro,Sim
7782,2025-04-24,11:01,Thursday,Pizza Mania,Pizzaria,Lasanha,Alta,Sim,60,38,106.0,11.19,3,63.16,189.48,4.5,0.31,193.67,Vale Refeição,Em Transporte,Zona Sul,Não
8508,2025-05-30,18:28,Friday,Sushi Express,Japonesa,Hot Roll,Alta,Sim,56,61,94.0,4.48,5,9.72,48.6,14.42,14.66,48.36,Cartão Débito,Entregue,Zona Oeste,Sim
9624,2025-02-07,21:21,Friday,Café Aroma,Cafeteria,Torta,Baixa,Sim,34,10,44.0,9.42,5,48.39,241.95,9.9,7.58,244.27,Pix,Em Transporte,Zona Sul,Sim
919,2025-03-02,17:15,Sunday,Pastel do Centro,Lanches,Coxinha,Baixa,Não,24,10,30.0,11.32,2,57.03,114.06,17.06,3.02,128.1,Cartão Crédito,Em Transporte,Zona Leste,Sim
6129,2025-03-10,17:20,Monday,Doce Sabor,Sobremesas,Açaí,Baixa,Não,19,18,44.0,1.54,5,83.97,419.85,4.95,9.63,415.17,Vale Refeição,Entregue,Zona Oeste,Sim
